,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
1510,T101019,BioChemical,Proto-oncogene tyrosine-protein kinase ROS,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  sev
1511,T101022,BioChemical,Gastric inhibitory polypeptide,Unclassified protein,,,,Chembl,unclassified
1512,T101024,BioChemical,Intestinal alkaline phosphatase,Enzyme,,,,Chembl,enzyme
1513,T101025,BioChemical,PCNA-associated factor,Unclassified protein,,,,Chembl,unclassified
1514,T101026,BioChemical,Lysyl-tRNA synthetase,Enzyme,,,,Chembl,enzyme
1515,T101027,BioChemical,Kinesin-like protein KIF14,Unclassified protein,,,,Chembl,unclassified
1516,T101028,BioChemical,Sonic hedgehog protein,Unclassified protein,,,,Chembl,unclassified
1517,T101029,BioChemical,Nuclear receptor subfamily 0 group B member 2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 0,Nuclear hormone receptor subfamily 0 group B,Chembl,transcription factor  nuclear receptor  nr0  nr0b  nr0b2
1518,T101030,BioChemical,Dual specificity testis-specific protein kinase 1,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  lisk  tesk
1519,T101031,BioChemical,Mitogen-activated protein kinase kinase kinase 7-interacting protein 1,Unclassified protein,,,,Chembl,unclassified
1520,T101032,BioChemical,Serine/threonine-protein kinase 11,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camkl  lkb
1521,T101033,BioChemical,Rhodopsin kinase,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  grk  grk
1522,T101034,BioChemical,NT-3 growth factor receptor,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  trk
1523,T101035,BioChemical,Bcl-2 homologous antagonist/killer,Unclassified protein,,,,Chembl,unclassified
1524,T101036,BioChemical,Prostasin,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
1525,T101041,BioChemical,Serine/threonine-protein kinase MRCK gamma,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  dmpk  gek
1526,T101044,BioChemical,Endoplasmic reticulum aminopeptidase 2,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m1
1527,T101045,BioChemical,Serine/threonine-protein kinase Nek5,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  nek
1528,T101047,BioChemical,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,Enzyme,,,,Chembl,enzyme
1529,T101048,BioChemical,Serine/threonine-protein kinase ULK3,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  ulk
1530,T101049,BioChemical,Neutral cholesterol ester hydrolase 1,Enzyme,,,,Chembl,enzyme
1531,T101050,BioChemical,Ectonucleoside triphosphate diphosphohydrolase 2,Enzyme,,,,Chembl,enzyme
1532,T101051,BioChemical,Matrix metalloproteinase-24,Enzyme,Protease,Metallo protease,Metallo protease MAM clan,Chembl,enzyme  protease  metallo  mam  m10a
1533,T101052,BioChemical,Transient receptor potential cation channel subfamily V member 2,Ion channel,Voltage-gated ion channel,Transient receptor potential channel,,Chembl,ion channel  vgc  trp
1534,T101053,BioChemical,Serine/threonine-protein kinase MRCK beta,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  dmpk  gek
1535,T101054,BioChemical,Endothelial lipase,Enzyme,,,,Chembl,enzyme
1536,T101055,BioChemical,Interleukin-1 receptor-associated kinase 3,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  irak
1537,T101056,BioChemical,Serine/threonine-protein kinase 24,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  ysk
1538,T101057,BioChemical,Poly [ADP-ribose] polymerase 3,Enzyme,,,,Chembl,enzyme
1539,T101058,BioChemical,Casein kinase I isoform gamma-3,Enzyme,Kinase,Protein Kinase,CK1 protein kinase group,Chembl,enzyme  kinase  protein kinase  ck1  ck1  ck1-g
1540,T101069,BioChemical,Wee1-like protein kinase 2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  wee  wee1
1541,T101073,BioChemical,Putative uncharacterized serine/threonine-protein kinase SgK110,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  nkf1
1542,T101076,BioChemical,Zinc finger protein GLI2,Unclassified protein,,,,Chembl,unclassified
1543,T101077,BioChemical,Non-secretory ribonuclease,Enzyme,,,,Chembl,enzyme
1544,T101078,BioChemical,Mitogen-activated protein kinase 6,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  mapk  erk3
1545,T101079,BioChemical,Discoidin domain-containing receptor 2,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  ddr
1546,T101097,BioChemical,Neuropeptide S receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide receptor
1547,T101109,BioChemical,T-cell-specific surface glycoprotein CD28,Unclassified protein,,,,Chembl,unclassified
1548,T101113,BioChemical,"Solute carrier family 2, facilitated glucose transporter member 3",Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC02 family of hexose and sugar alcohol transporters,Chembl,transporter  electrochemical  slc  slc02
1549,T101114,BioChemical,Uridine 5'-monophosphate synthase,Enzyme,,,,Chembl,enzyme
1550,T101130,BioChemical,Serine/threonine-protein kinase TNNI3K,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  mlk  hh498
1551,T101131,BioChemical,Serine/threonine-protein kinase TAO1,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  tao
1552,T101136,BioChemical,G protein-regulated inducer of neurite outgrowth 1,Unclassified protein,,,,Chembl,unclassified
1553,T101137,BioChemical,ADM2,Unclassified protein,,,,Chembl,unclassified
1554,T101159,BioChemical,Glucose-6-phosphate 1-dehydrogenase,Enzyme,,,,Chembl,enzyme
1555,T101161,BioChemical,High affinity immunoglobulin gamma Fc receptor I,Unclassified protein,,,,Chembl,unclassified
1556,T101162,BioChemical,Bone morphogenetic protein 4,Unclassified protein,,,,Chembl,unclassified
1557,T101173,BioChemical,Hepatocyte nuclear factor 4-alpha,Unclassified protein,,,,Chembl,unclassified
1558,T101174,BioChemical,Pituitary adenylate cyclase-activating polypeptide type I receptor,Unclassified protein,,,,Chembl,unclassified
1559,T101176,BioChemical,Signal transducer and activator of transcription 6,Transcription factor,,,,Chembl,transcription factor
1560,T101178,BioChemical,Signal transducer and activator of transcription 5A,Transcription factor,,,,Chembl,transcription factor
1561,T101179,BioChemical,Serine/threonine-protein kinase tousled-like 2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  tlk
1562,T101180,BioChemical,Serine/threonine-protein kinase 32C,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  yank
1563,T101181,BioChemical,Histone-arginine methyltransferase CARM1,Epigenetic regulator,Writer,Protein methyltransferase,Protein arginine methyltransferase,Chembl,epigenetic regulator  writer  pmt  prmt
1564,T101182,BioChemical,Myosin light chain kinase family member 4,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  mlck
1565,T101183,BioChemical,Homeodomain-interacting protein kinase 1,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  dyrk  hipk
1566,T101188,BioChemical,Mitogen-activated protein kinase kinase kinase kinase 3,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  khs
1567,T101189,BioChemical,Tryptophan 5-hydroxylase 2,Enzyme,,,,Chembl,enzyme
1568,T101191,BioChemical,Serine/threonine-protein kinase ULK2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  ulk
1569,T101202,BioChemical,Galectin-9,Unclassified protein,,,,Chembl,unclassified
1570,T101203,BioChemical,Galectin-8,Unclassified protein,,,,Chembl,unclassified
1571,T101204,BioChemical,Bone morphogenetic protein receptor type-1B,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  stkr  type1
1572,T101205,BioChemical,Proteinase-activated receptor 3,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Protease-activated receptor,Chembl,membrane receptor  7tm1  peptide  protease-activated receptor  protease-activated receptor
1573,T101207,BioChemical,Hepatocyte growth factor,Unclassified protein,,,,Chembl,unclassified
1574,T101208,BioChemical,Perforin-1,Ion channel,Other ion channel,Pore-forming toxins (proteins and peptides),,Chembl,ion channel  other  toxin
1575,T101211,BioChemical,Insulin receptor-related protein,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  insr
1576,T101213,BioChemical,D-amino-acid oxidase,Enzyme,,,,Chembl,enzyme
1577,T101216,BioChemical,Huntingtin,Unclassified protein,,,,Chembl,unclassified
1578,T101218,BioChemical,Monoacylglycerol lipase ABHD12,Enzyme,,,,Chembl,enzyme
1579,T101219,BioChemical,Secreted frizzled-related protein 1,Unclassified protein,,,,Chembl,unclassified
1580,T101220,BioChemical,Misshapen-like kinase 1,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  msn
1581,T101221,BioChemical,Serine/threonine-protein kinase DCLK2,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  dcamkl
1582,T101222,BioChemical,Casein kinase I isoform alpha-like,Enzyme,Kinase,Protein Kinase,CK1 protein kinase group,Chembl,enzyme  kinase  protein kinase  ck1  ck1  ck1-a
1583,T101223,BioChemical,Sn1-specific diacylglycerol lipase beta,Enzyme,,,,Chembl,enzyme
1584,T101224,BioChemical,Transient receptor potential cation channel subfamily V member 3,Ion channel,Voltage-gated ion channel,Transient receptor potential channel,,Chembl,ion channel  vgc  trp
1585,T101225,BioChemical,Myosin IIIA,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  ninac
1586,T101226,BioChemical,Ankyrin repeat and protein kinase domain-containing protein 1,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  ripk
1587,T101227,BioChemical,Prokineticin receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Peptide growth factor receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  peptide growth factor  prokineticin receptor
1588,T101228,BioChemical,Tubulin--tyrosine ligase,Enzyme,,,,Chembl,enzyme
1589,T101229,BioChemical,"Chaperone activity of bc1 complex-like, mitochondrial",Enzyme,,,,Chembl,enzyme
1590,T101230,BioChemical,Sodium/nucleoside cotransporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC28 and SLC29 families of nucleoside transporters,Chembl,transporter  electrochemical  slc  slc28 and slc29  slc28
1591,T101231,BioChemical,Serine/threonine-protein kinase 25,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  ysk
1592,T101232,BioChemical,ATP-dependent RNA helicase DDX3X,Enzyme,,,,Chembl,enzyme
1593,T101233,BioChemical,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,Enzyme,,,,Chembl,enzyme
1594,T101234,BioChemical,Acyl-CoA desaturase,Enzyme,,,,Chembl,enzyme
1595,T101238,BioChemical,Cyclin-dependent kinase 2-associated protein 1,Unclassified protein,,,,Chembl,unclassified
1596,T101239,BioChemical,Citron Rho-interacting kinase,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  dmpk  crik
1597,T101240,BioChemical,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,Enzyme,,,,Chembl,enzyme
1598,T101241,BioChemical,Ras-related C3 botulinum toxin substrate 2,Unclassified protein,,,,Chembl,unclassified
1599,T101246,BioChemical,Carbonyl reductase [NADPH] 1,Enzyme,,,,Chembl,enzyme
1600,T101247,BioChemical,Cyclic AMP-responsive element-binding protein 1,Unclassified protein,,,,Chembl,unclassified
1601,T101248,BioChemical,Prolactin receptor,Unclassified protein,,,,Chembl,unclassified
1602,T101250,BioChemical,Integrin alpha-2,Unclassified protein,,,,Chembl,unclassified
1603,T101251,BioChemical,Aldo-keto reductase family 1 member C4,Enzyme,,,,Chembl,enzyme
1604,T101254,BioChemical,Nuclear receptor subfamily 4 group A member 2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 4,Nuclear hormone receptor subfamily 4 group A,Chembl,transcription factor  nuclear receptor  nr4  nr4a  nr4a2
1605,T101257,BioChemical,Proto-oncogene C-crk,Unclassified protein,,,,Chembl,unclassified
1606,T101258,BioChemical,G-protein coupled receptor 12,Membrane receptor,Family A G protein-coupled receptor,,,Chembl,membrane receptor  7tm1
1607,T101260,BioChemical,Galectin-7,Unclassified protein,,,,Chembl,unclassified
1608,T101268,BioChemical,Prokineticin receptor 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Peptide growth factor receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  peptide growth factor  prokineticin receptor
1609,T101269,BioChemical,BR serine/threonine-protein kinase 1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camkl  brsk
1610,T101270,BioChemical,Serine/threonine-protein kinase 35,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  nkf4
1611,T101271,BioChemical,Glucose-dependent insulinotropic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor
1612,T101273,BioChemical,Myosin-IIIB,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  ninac
1613,T101277,BioChemical,Prostaglandin E synthase,Enzyme,,,,Chembl,enzyme
1614,T101278,BioChemical,Serine/threonine-protein kinase RIO3,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  rio  rio3
1615,T101279,BioChemical,Kinetochore protein NDC80 homolog,Unclassified protein,,,,Chembl,unclassified
1616,T101280,BioChemical,Exportin-1,Unclassified protein,,,,Chembl,unclassified
1617,T101281,BioChemical,Serine/threonine-protein kinase DCLK1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  dcamkl
1618,T101282,BioChemical,"Muscle, skeletal receptor tyrosine protein kinase",Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  musk
1619,T101283,BioChemical,Solute carrier family 22 member 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC22 family of organic cation and anion transporters,Chembl,transporter  electrochemical  slc  slc22
1620,T101287,BioChemical,Tryptophan 5-hydroxylase 1,Enzyme,,,,Chembl,enzyme
1621,T101290,BioChemical,Pituitary adenylate cyclase-activating polypeptide,Unclassified protein,,,,Chembl,unclassified
1622,T101292,BioChemical,DNA ligase 1,Enzyme,,,,Chembl,enzyme
1623,T101294,BioChemical,Gamma-glutamyltranspeptidase 1,Enzyme,,,,Chembl,enzyme
1624,T101295,BioChemical,Tumor necrosis factor ligand superfamily member 6,Unclassified protein,,,,Chembl,unclassified
1625,T101296,BioChemical,Paxillin,Unclassified protein,,,,Chembl,unclassified
1626,T101297,BioChemical,Nuclear receptor subfamily 2 group C member 2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group C,Chembl,transcription factor  nuclear receptor  nr2  nr2c  nr2c2
1627,T101300,BioChemical,Cell division protein kinase 8,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  cdk  cdk8
1628,T101302,BioChemical,GMP synthase [glutamine-hydrolyzing],Enzyme,,,,Chembl,enzyme
1629,T101303,BioChemical,Ectonucleoside triphosphate diphosphohydrolase 1,Enzyme,,,,Chembl,enzyme
1630,T101309,BioChemical,Cyclin-dependent kinase-like 2,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  cdkl
1631,T101310,BioChemical,CREB-binding protein,Epigenetic regulator,Writer,Histone acetyltransferase,p300/CBP family,Chembl,epigenetic regulator  writer  hat  p300 cbp
1632,T101310,BioChemical,CREB-binding protein,Epigenetic regulator,Reader,Bromodomain,,Chembl,epigenetic regulator  reader  brd
1633,T101311,BioChemical,Canalicular multispecific organic anion transporter 1,Transporter,Primary active transporter,ATP-binding cassette,ABCC subfamily,Chembl,transporter  ntpase  atp binding cassette  mrp
1634,T101312,BioChemical,Mitogen-activated protein kinase kinase kinase kinase 1,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste20  khs
1635,T101313,BioChemical,Histone acetyltransferase KAT5,Epigenetic regulator,Writer,Histone acetyltransferase,MYST family,Chembl,epigenetic regulator  writer  hat  myst
1636,T101313,BioChemical,Histone acetyltransferase KAT5,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
1637,T101316,BioChemical,Uncharacterized aarF domain-containing protein kinase 4,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  abc1  abc1-a
1638,T101317,BioChemical,MAP/microtubule affinity-regulating kinase 4,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camkl  mark
1639,T101324,BioChemical,Mitogen-activated protein kinase kinase kinase 7,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  mlk  tak1
1640,T101325,BioChemical,Bcl-2-like protein 11,Unclassified protein,,,,Chembl,unclassified
1641,T101326,BioChemical,Forkhead box protein O3,Unclassified protein,,,,Chembl,unclassified
1642,T101327,BioChemical,Linker for activation of T-cells family member 1,Unclassified protein,,,,Chembl,unclassified
1643,T101328,BioChemical,Sodium/nucleoside cotransporter 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC28 and SLC29 families of nucleoside transporters,Chembl,transporter  electrochemical  slc  slc28 and slc29  slc28
1644,T101332,BioChemical,NUAK family SNF1-like kinase 1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camkl  nuak
1645,T101333,BioChemical,"Interferon-induced, double-stranded RNA-activated protein kinase",Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  pek  pkr
1646,T101336,BioChemical,Cation-dependent mannose-6-phosphate receptor,Unclassified protein,,,,Chembl,unclassified
1647,T101337,BioChemical,Myelin-associated glycoprotein,Unclassified protein,,,,Chembl,unclassified
1648,T101338,BioChemical,PITSLRE serine/threonine-protein kinase CDC2L1,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  cdk  pitslre
1649,T101340,BioChemical,Ephrin type-A receptor 1,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  eph
1650,T101341,BioChemical,Macrophage scavenger receptor types I and II,Unclassified protein,,,,Chembl,unclassified
1651,T101342,BioChemical,Dynamin-2,Enzyme,,,,Chembl,enzyme
1652,T101343,BioChemical,Tumor necrosis factor ligand superfamily member 10,Unclassified protein,,,,Chembl,unclassified
1653,T101344,BioChemical,Peroxisomal multifunctional enzyme type 2,Enzyme,,,,Chembl,enzyme
1654,T101345,BioChemical,C-C chemokine receptor type 9,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
1655,T101347,BioChemical,Signal transducer and activator of transcription 5B,Transcription factor,,,,Chembl,transcription factor
1656,T101348,BioChemical,Serine/threonine-protein kinase PRKX,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,Chembl,enzyme  kinase  protein kinase  agc  pka
1657,T101349,BioChemical,Serine/threonine-protein kinase Nek4,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  nek
1658,T101351,BioChemical,Aldo-keto reductase family 1 member C2,Enzyme,,,,Chembl,enzyme
1659,T101353,BioChemical,Mas-related G-protein coupled receptor member X2,Unclassified protein,,,,Chembl,unclassified
1660,T101354,BioChemical,Mas-related G-protein coupled receptor member X1,Unclassified protein,,,,Chembl,unclassified
1661,T101355,BioChemical,Baculoviral IAP repeat-containing protein 8,Unclassified protein,,,,Chembl,unclassified
1662,T101356,BioChemical,Pyroglutamylated RFamide peptide receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  rf amide receptor
1663,T101357,BioChemical,Diacylglycerol O-acyltransferase 2,Enzyme,,,,Chembl,enzyme
1664,T101358,BioChemical,Adenylate cyclase type 10,Enzyme,,,,Chembl,enzyme
1665,T101359,BioChemical,Serine/threonine-protein kinase Nek1,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  nek
1666,T101360,BioChemical,Serine/threonine-protein kinase PFTAIRE-2,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  cdk  pftaire
1667,T101361,BioChemical,Trace amine-associated receptor 1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  trace amine receptor
1668,T101364,BioChemical,D-aspartate oxidase,Enzyme,,,,Chembl,enzyme
1669,T101365,BioChemical,Mitogen-activated protein kinase kinase kinase 14,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste-unique
1670,T101366,BioChemical,Kinesin-like protein KIF1B,Unclassified protein,,,,Chembl,unclassified
1671,T101367,BioChemical,Endothelin-converting enzyme 2,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m13
1672,T101368,BioChemical,Protein arginine N-methyltransferase 3,Epigenetic regulator,Writer,Protein methyltransferase,Protein arginine methyltransferase,Chembl,epigenetic regulator  writer  pmt  prmt
1673,T101369,BioChemical,Endothelin B receptor-like protein 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  endothelin receptor
1674,T101370,BioChemical,Ribonuclease H1,Enzyme,,,,Chembl,enzyme
1675,T101373,BioChemical,Lysine-specific demethylase 4A,Epigenetic regulator,Eraser,Lysine demethylase,Jumonji domain-containing,Chembl,epigenetic regulator  eraser  kdm  jumonji
1676,T101373,BioChemical,Lysine-specific demethylase 4A,Epigenetic regulator,Reader,Plant homeodomain,,Chembl,epigenetic regulator  reader  phd
1677,T101373,BioChemical,Lysine-specific demethylase 4A,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Tudor domain,Chembl,epigenetic regulator  reader  methyl-lysine  tudor
1678,T101374,BioChemical,Ectonucleoside triphosphate diphosphohydrolase 3,Enzyme,,,,Chembl,enzyme
1679,T101375,BioChemical,Lactoperoxidase,Enzyme,,,,Chembl,enzyme
1680,T101376,BioChemical,Multifunctional protein ADE2,Enzyme,,,,Chembl,enzyme
1681,T101378,BioChemical,Ubiquitin-like modifier-activating enzyme 1,Enzyme,,,,Chembl,enzyme
1682,T101379,BioChemical,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,Enzyme,,,,Chembl,enzyme
1683,T101383,BioChemical,Alanine aminotransferase 1,Enzyme,,,,Chembl,enzyme
1684,T101384,BioChemical,Corticotropin-releasing factor-binding protein,Unclassified protein,,,,Chembl,unclassified
1685,T101386,BioChemical,LIM domain kinase 2,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,Chembl,enzyme  kinase  protein kinase  tkl  lisk  limk
1686,T101391,BioChemical,Phospholipid transfer protein,Ion channel,Other ion channel,Pore-forming toxins (proteins and peptides),,Chembl,ion channel  other  toxin
1687,T101392,BioChemical,Proteinase-activated receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Protease-activated receptor,Chembl,membrane receptor  7tm1  peptide  protease-activated receptor  protease-activated receptor
1688,T101393,BioChemical,Aquaporin-4,Ion channel,Other ion channel,Aquaporin,Water-specific aquaporin,Chembl,ion channel  other  aquaporin  water-specific
1689,T101395,BioChemical,IgG receptor FcRn large subunit p51,Unclassified protein,,,,Chembl,unclassified
1690,T101396,BioChemical,Kinesin-like protein KIF2C,Unclassified protein,,,,Chembl,unclassified
1691,T101397,BioChemical,Lysophosphatidic acid receptor 4,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor
1692,T101398,BioChemical,Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha,Enzyme,Kinase,,,Chembl,enzyme  kinase
1693,T101399,BioChemical,Mitogen-activated protein kinase kinase kinase 3,Enzyme,Kinase,Protein Kinase,STE protein kinase group,Chembl,enzyme  kinase  protein kinase  ste  ste11  mekk2
1694,T101400,BioChemical,Smoothened homolog,Membrane receptor,Frizzled family G protein-coupled receptor,Smoothened receptor (frizzled family GPCR),,Chembl,membrane receptor  7tmfz  smoothened
1695,T101403,BioChemical,Dehydrogenase/reductase SDR family member 9,Enzyme,,,,Chembl,enzyme
1696,T101404,BioChemical,Serine/threonine-protein kinase RIO1,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  rio  rio1
1697,T101405,BioChemical,Serine/threonine-protein kinase RIO2,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  rio  rio2
1698,T101406,BioChemical,Elongation of very long chain fatty acids protein 1,Enzyme,,,,Chembl,enzyme
1699,T101407,BioChemical,Cell division cycle 2-like protein kinase 6,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  cdk  cdk8
1700,T101408,BioChemical,Testis-specific serine/threonine-protein kinase 1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  tssk
1701,T101409,BioChemical,Queuine tRNA-ribosyltransferase,Enzyme,,,,Chembl,enzyme
1702,T101410,BioChemical,Serine/threonine-protein kinase 33,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  camk-unique
